anomaly_index,action_type,target,reason,severity,severity_value,params
293,log,system,Anomaly detected: host-based anomaly detection event (rootcheck).,MEDIUM,2,"{'event_desc': 'host-based anomaly detection event (rootcheck).', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 09:49:52.082000+0000', tz='UTC'), 'anomaly_score': -11.836073095176932}"
293,alert,security_team,BENIGN detected: host-based anomaly detection event (rootcheck).,MEDIUM,2,"{'attack_type': 'benign', 'event_desc': 'host-based anomaly detection event (rootcheck).', 'agent': 'pfsense.home.arpa', 'src_ip': None, 'dst_ip': None, 'confidence': 0.74}"
296,log,system,Anomaly detected: new user added to the system.,MEDIUM,2,"{'event_desc': 'new user added to the system.', 'agent': 'wazuh-server', 'timestamp': Timestamp('2025-10-21 09:50:43.478000+0000', tz='UTC'), 'anomaly_score': -28.3062484484725}"
296,alert,security_team,BENIGN detected: new user added to the system.,MEDIUM,2,"{'attack_type': 'benign', 'event_desc': 'new user added to the system.', 'agent': 'wazuh-server', 'src_ip': None, 'dst_ip': None, 'confidence': 0.84}"
297,log,system,Anomaly detected: new group added to the system.,MEDIUM,2,"{'event_desc': 'new group added to the system.', 'agent': 'wazuh-server', 'timestamp': Timestamp('2025-10-21 09:50:43.478000+0000', tz='UTC'), 'anomaly_score': -17.197058392360407}"
297,alert,security_team,BENIGN detected: new group added to the system.,MEDIUM,2,"{'attack_type': 'benign', 'event_desc': 'new group added to the system.', 'agent': 'wazuh-server', 'src_ip': None, 'dst_ip': None, 'confidence': 0.81}"
317,log,system,Anomaly detected: host-based anomaly detection event (rootcheck).,MEDIUM,2,"{'event_desc': 'host-based anomaly detection event (rootcheck).', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 09:53:56.087000+0000', tz='UTC'), 'anomaly_score': -12.461021705877084}"
317,alert,security_team,BENIGN detected: host-based anomaly detection event (rootcheck).,MEDIUM,2,"{'attack_type': 'benign', 'event_desc': 'host-based anomaly detection event (rootcheck).', 'agent': 'pfsense.home.arpa', 'src_ip': None, 'dst_ip': None, 'confidence': 0.74}"
328,log,system,Anomaly detected: pam: login session opened.,LOW,1,"{'event_desc': 'pam: login session opened.', 'agent': 'wazuh-server', 'timestamp': Timestamp('2025-10-21 09:59:41.134000+0000', tz='UTC'), 'anomaly_score': -28.91321322157026}"
337,log,system,Anomaly detected: sshd: authentication success.,LOW,1,"{'event_desc': 'sshd: authentication success.', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:26:47.239000+0000', tz='UTC'), 'anomaly_score': -10.314727735188939}"
347,log,system,Anomaly detected: host-based anomaly detection event (rootcheck).,MEDIUM,2,"{'event_desc': 'host-based anomaly detection event (rootcheck).', 'agent': 'pfsense.home.arpa', 'timestamp': Timestamp('2025-10-21 12:31:23.032000+0000', tz='UTC'), 'anomaly_score': -22.32336663636177}"
